1 epoch, LR 0.001000, LOSS 11.318988, ACC 0.39%, EER 12.21%, bestEER 12.21%
2 epoch, LR 0.000980, LOSS 8.284230, ACC 4.03%, EER 7.84%, bestEER 7.84%
3 epoch, LR 0.000960, LOSS 6.487315, ACC 10.66%, EER 6.42%, bestEER 6.42%
4 epoch, LR 0.000941, LOSS 5.514438, ACC 16.74%, EER 5.89%, bestEER 5.89%
5 epoch, LR 0.000922, LOSS 4.934551, ACC 21.17%, EER 5.25%, bestEER 5.25%
6 epoch, LR 0.000904, LOSS 4.522166, ACC 24.99%, EER 5.32%, bestEER 5.25%
7 epoch, LR 0.000886, LOSS 4.230845, ACC 27.93%, EER 4.54%, bestEER 4.54%
8 epoch, LR 0.000868, LOSS 3.954722, ACC 31.01%, EER 4.47%, bestEER 4.47%
9 epoch, LR 0.000851, LOSS 3.750751, ACC 33.43%, EER 4.25%, bestEER 4.25%
10 epoch, LR 0.000834, LOSS 3.546846, ACC 35.80%, EER 4.19%, bestEER 4.19%
11 epoch, LR 0.000817, LOSS 3.390077, ACC 37.84%, EER 4.14%, bestEER 4.14%
12 epoch, LR 0.000801, LOSS 3.252732, ACC 39.69%, EER 3.89%, bestEER 3.89%
13 epoch, LR 0.000785, LOSS 3.118852, ACC 41.45%, EER 3.81%, bestEER 3.81%
14 epoch, LR 0.000769, LOSS 3.019276, ACC 42.89%, EER 3.85%, bestEER 3.81%
15 epoch, LR 0.000754, LOSS 2.910611, ACC 44.67%, EER 3.67%, bestEER 3.67%
16 epoch, LR 0.000739, LOSS 2.812927, ACC 45.88%, EER 3.43%, bestEER 3.43%
17 epoch, LR 0.000724, LOSS 2.735615, ACC 47.29%, EER 3.78%, bestEER 3.43%
18 epoch, LR 0.000709, LOSS 2.650719, ACC 48.41%, EER 3.41%, bestEER 3.41%
19 epoch, LR 0.000695, LOSS 2.552019, ACC 49.67%, EER 3.38%, bestEER 3.38%
20 epoch, LR 0.000681, LOSS 2.498612, ACC 50.63%, EER 3.35%, bestEER 3.35%
21 epoch, LR 0.000668, LOSS 2.441722, ACC 51.61%, EER 3.33%, bestEER 3.33%
22 epoch, LR 0.000654, LOSS 2.353433, ACC 53.04%, EER 3.38%, bestEER 3.33%
23 epoch, LR 0.000641, LOSS 2.308637, ACC 53.76%, EER 3.23%, bestEER 3.23%
24 epoch, LR 0.000628, LOSS 2.259593, ACC 54.76%, EER 3.30%, bestEER 3.23%
25 epoch, LR 0.000616, LOSS 2.219610, ACC 55.36%, EER 3.29%, bestEER 3.23%
26 epoch, LR 0.000603, LOSS 2.151257, ACC 56.47%, EER 3.24%, bestEER 3.23%
27 epoch, LR 0.000591, LOSS 2.111521, ACC 57.19%, EER 3.11%, bestEER 3.11%
28 epoch, LR 0.000580, LOSS 2.067388, ACC 57.90%, EER 3.29%, bestEER 3.11%
29 epoch, LR 0.000568, LOSS 2.014118, ACC 58.73%, EER 3.27%, bestEER 3.11%
30 epoch, LR 0.000557, LOSS 1.973071, ACC 59.79%, EER 3.06%, bestEER 3.06%
31 epoch, LR 0.000545, LOSS 1.954365, ACC 59.89%, EER 2.97%, bestEER 2.97%
32 epoch, LR 0.000535, LOSS 1.894372, ACC 60.84%, EER 3.08%, bestEER 2.97%
33 epoch, LR 0.000524, LOSS 1.858341, ACC 61.60%, EER 2.91%, bestEER 2.91%
34 epoch, LR 0.000513, LOSS 1.818654, ACC 62.30%, EER 3.13%, bestEER 2.91%
35 epoch, LR 0.000503, LOSS 1.790711, ACC 62.86%, EER 2.95%, bestEER 2.91%
36 epoch, LR 0.000493, LOSS 1.754930, ACC 63.51%, EER 3.01%, bestEER 2.91%
37 epoch, LR 0.000483, LOSS 1.730470, ACC 63.91%, EER 3.18%, bestEER 2.91%
38 epoch, LR 0.000474, LOSS 1.700123, ACC 64.29%, EER 2.81%, bestEER 2.81%
